,Name,Page,Birthplace,Years of experience,Age,Position,Team,PER,Salary
118,Jared Dudley,https://www.basketball-reference.com/players/d/dudleja01.html,California,14,32,PF,PHO,10.6,10470000
119,Mike Dunleavy,https://www.basketball-reference.com/players/d/dunlemi02.html,Texas,15,37,SF,TOT,10.1,4837500
120,Kris Dunn,https://www.basketball-reference.com/players/d/dunnkr01.html,Connecticut,5,23,PG,MIN,8.1,3872520
121,Kevin Durant,https://www.basketball-reference.com/players/d/duranke01.html,District of Columbia,13,29,PF,GSW,27.6,26540100
122,Jarell Eddie,https://www.basketball-reference.com/players/e/eddieja01.html,Florida,3,26,SF,PHO,9.7,175000
123,Henry Ellenson,https://www.basketball-reference.com/players/e/ellenhe01.html,Wisconsin,5,20,PF,DET,7.5,1704120
124,Wayne Ellington,https://www.basketball-reference.com/players/e/ellinwa01.html,Pennsylvania,12,30,SG,MIA,12.6,6000000
125,Monta Ellis,https://www.basketball-reference.com/players/e/ellismo01.html,Mississippi,12,32,SG,IND,9.9,10770000
126,Joel Embiid,https://www.basketball-reference.com/players/e/embiijo01.html,Cameroon,5,23,C,PHI,24.1,4826160
127,James Ennis III,https://www.basketball-reference.com/players/e/ennisja01.html,California,7,27,SF,MEM,10.6,2898000
128,Tyler Ennis,https://www.basketball-reference.com/players/e/ennisty01.html,Canada,4,23,PG,TOT,10.9,1733880
129,Tyreke Evans,https://www.basketball-reference.com/players/e/evansty01.html,Pennsylvania,10,28,SF,TOT,15.5,10661286
130,Dante Exum,https://www.basketball-reference.com/players/e/exumda01.html,Australia,6,22,PG,UTA,8.5,3940320
131,Kenneth Faried,https://www.basketball-reference.com/players/f/farieke01.html,New Jersey,8,28,PF,DEN,20.3,12078652
132,Jordan Farmar,https://www.basketball-reference.com/players/f/farmajo01.html,California,10,31,PG,SAC,14.4,510921
133,Derrick Favors,https://www.basketball-reference.com/players/f/favorde01.html,Georgia,11,26,PF,UTA,15.8,11050000
134,Kay Felder,https://www.basketball-reference.com/players/f/feldeka01.html,Michigan,2,22,PG,CLE,11.4,543471
135,Cristiano Felício,https://www.basketball-reference.com/players/f/feliccr01.html,Brazil,6,25,C,CHI,15.3,874636
136,Raymond Felton,https://www.basketball-reference.com/players/f/feltora01.html,South Carolina,14,33,PG,LAC,10.9,1551659
137,Yogi Ferrell,https://www.basketball-reference.com/players/f/ferreyo01.html,Indiana,5,24,PG,TOT,13.1,239767
138,Dorian Finney-Smith,https://www.basketball-reference.com/players/f/finnedo01.html,Virginia,5,24,PF,DAL,7.7,543471
139,Bryn Forbes,https://www.basketball-reference.com/players/f/forbebr01.html,Michigan,5,24,SG,SAS,5.9,543471
140,Evan Fournier,https://www.basketball-reference.com/players/f/fournev01.html,France,9,25,SG,ORL,13.9,17000000
141,Randy Foye,https://www.basketball-reference.com/players/f/foyera01.html,New Jersey,11,34,SG,BRK,7.3,2500000
142,Tim Frazier,https://www.basketball-reference.com/players/f/fraziti01.html,Texas,7,27,PG,NOP,12.4,2090000
143,Enes Freedom,https://www.basketball-reference.com/players/k/kanteen01.html,Switzerland,10,25,C,OKC,23.7,17145838
144,Channing Frye,https://www.basketball-reference.com/players/f/fryech01.html,New York,13,34,C,CLE,15.6,7806971
145,Danilo Gallinari,https://www.basketball-reference.com/players/g/gallida01.html,Italy,12,29,SF,DEN,17.4,15050000
146,Langston Galloway,https://www.basketball-reference.com/players/g/gallola01.html,Louisiana,7,26,PG,TOT,10.4,5200000
147,Patricio Garino,https://www.basketball-reference.com/players/g/garinpa01.html,Argentina,1,24,SG,ORL,-9.2,100000
148,Marc Gasol,https://www.basketball-reference.com/players/g/gasolma01.html,Spain,13,32,C,MEM,20.3,21165675
149,Pau Gasol,https://www.basketball-reference.com/players/g/gasolpa01.html,Spain,18,37,C,SAS,20.2,15500000
150,Rudy Gay,https://www.basketball-reference.com/players/g/gayru01.html,New York,15,31,SF,SAC,17.9,13333333
151,Michael Gbinije,https://www.basketball-reference.com/players/g/gbinimi01.html,Connecticut,1,25,SG,DET,-2.1,650000
152,Alonzo Gee,https://www.basketball-reference.com/players/g/geeal01.html,Florida,8,30,SF,DEN,3.1,1400000
153,Paul George,https://www.basketball-reference.com/players/g/georgpa01.html,California,11,27,SF,IND,20.2,18314532
154,Marcus Georges-Hunt,https://www.basketball-reference.com/players/g/georgma01.html,Florida,2,23,SG,ORL,10.2,31969
